"Key","Adv","ObDate","NE","SE","SW","NW"
"AL102016",2,2016-09-12 21:00:00,1,1,1,1
"AL102016",1,2016-09-12 15:00:00,1,1,1,1
"AL092016",38,2016-09-06 18:00:00,1,1,1,1
"AL092016",37,2016-09-06 15:00:00,1,1,1,1
"AL092016",36,2016-09-06 09:00:00,1,1,1,1
"AL092016",35,2016-09-06 03:00:00,1,1,1,1
"AL092016",34,2016-09-05 21:00:00,1,1,1,1
"AL092016",33,2016-09-05 15:00:00,1,1,1,1
"AL092016",32,2016-09-05 09:00:00,1,1,1,1
"AL092016",31,2016-09-05 03:00:00,1,1,1,1
"AL092016",30,2016-09-04 21:00:00,1,1,1,1
"AL092016",29,2016-09-04 15:00:00,1,1,1,1
"AL092016",28,2016-09-04 09:00:00,1,1,1,1
"AL092016",27,2016-09-04 03:00:00,1,1,1,1
"AL092016",26,2016-09-03 21:00:00,1,1,1,1
"AL092016",25,2016-09-03 15:00:00,1,1,1,1
"AL092016",24,2016-09-03 09:00:00,1,1,1,1
"AL092016",23,2016-09-03 03:00:00,1,1,1,1
"AL092016",22,2016-09-02 21:00:00,1,1,1,1
"AL092016",21,2016-09-02 15:00:00,1,1,1,1
"AL092016",20,2016-09-02 09:00:00,1,1,1,1
"AL092016",19,2016-09-02 03:00:00,1,1,1,1
"AL092016",18,2016-09-01 21:00:00,1,1,1,1
"AL092016",17,2016-09-01 17:00:00,1,1,1,1
"AL092016",16,2016-09-01 15:00:00,1,1,1,1
"AL092016",15,2016-09-01 09:00:00,1,1,1,1
"AL092016",14,2016-09-01 03:00:00,1,1,1,1
"AL092016",13,2016-08-31 21:00:00,1,1,1,1
"AL072016",47,2016-09-03 09:00:00,1,1,1,1
"AL072016",46,2016-09-03 03:00:00,1,1,1,1
"AL072016",45,2016-09-02 21:00:00,1,1,1,1
"AL072016",44,2016-09-02 15:00:00,1,1,1,1
"AL072016",43,2016-09-02 09:00:00,1,1,1,1
"AL072016",42,2016-09-02 03:00:00,1,1,1,1
"AL072016",41,2016-09-01 21:00:00,1,1,1,1
"AL072016",40,2016-09-01 15:00:00,1,1,1,1
"AL072016",39,2016-09-01 09:00:00,1,1,1,1
"AL072016",38,2016-09-01 03:00:00,1,1,1,1
"AL072016",37,2016-08-31 21:00:00,1,1,1,1
"AL072016",36,2016-08-31 15:00:00,1,1,1,1
"AL072016",35,2016-08-31 09:00:00,1,1,1,1
"AL072016",34,2016-08-31 03:00:00,1,1,1,1
"AL072016",33,2016-08-30 21:00:00,1,1,1,1
"AL072016",32,2016-08-30 15:00:00,1,1,1,1
"AL072016",31,2016-08-30 09:00:00,1,1,1,1
"AL072016",30,2016-08-30 03:00:00,1,1,1,1
"AL072016",29,2016-08-29 21:00:00,1,1,1,1
"AL072016",28,2016-08-29 15:00:00,1,1,1,1
"AL072016",27,2016-08-29 09:00:00,1,1,1,1
"AL072016",26,2016-08-29 03:00:00,1,1,1,1
"AL072016",25,2016-08-28 21:00:00,1,1,1,1
"AL072016",24,2016-08-28 15:00:00,1,1,1,1
"AL072016",23,2016-08-28 09:00:00,1,1,1,1
"AL072016",22,2016-08-28 03:00:00,1,1,1,1
"AL072016",21,2016-08-27 21:00:00,1,1,1,1
"AL072016",20,2016-08-27 15:00:00,1,1,1,1
"AL072016",19,2016-08-27 09:00:00,1,1,1,1
"AL072016",18,2016-08-27 03:00:00,1,1,1,1
"AL072016",17,2016-08-26 21:00:00,1,1,1,1
"AL072016",16,2016-08-26 15:00:00,1,1,1,1
"AL072016",15,2016-08-26 09:00:00,1,1,1,1
"AL072016",14,2016-08-26 03:00:00,1,1,1,1
"AL072016",13,2016-08-25 21:00:00,1,1,1,1
"AL072016",12,2016-08-25 15:00:00,1,1,1,1
"AL072016",11,2016-08-25 09:00:00,1,1,1,1
"AL072016",10,2016-08-25 03:00:00,1,1,1,1
"AL072016",9,2016-08-24 21:00:00,1,1,1,1
"AL072016",8,2016-08-24 15:00:00,1,1,1,1
"AL072016",7,2016-08-24 09:00:00,1,1,1,1
"AL072016",6,2016-08-24 03:00:00,1,1,1,1
"AL072016",5,2016-08-23 21:00:00,1,1,1,1
"AL072016",4,2016-08-23 15:00:00,1,1,1,1
"AL072016",3,2016-08-23 09:00:00,1,1,1,1
"AL072016",2,2016-08-23 03:00:00,1,1,1,1
"AL062016",25,2016-08-23 03:00:00,1,1,1,1
"AL062016",24,2016-08-22 21:00:00,1,1,1,1
"AL062016",23,2016-08-22 15:00:00,1,1,1,1
"AL062016",22,2016-08-22 09:00:00,1,1,1,1
"AL062016",21,2016-08-22 03:00:00,1,1,1,1
"AL062016",20,2016-08-21 21:00:00,1,1,1,1
"AL062016",19,2016-08-21 15:00:00,1,1,1,1
"AL062016",18,2016-08-21 09:00:00,1,1,1,1
"AL062016",17,2016-08-21 03:00:00,1,1,1,1
"AL062016",16,2016-08-20 21:00:00,1,1,1,1
"AL062016",15,2016-08-20 15:00:00,1,1,1,1
"AL062016",14,2016-08-20 09:00:00,1,1,1,1
"AL062016",13,2016-08-20 03:00:00,1,1,1,1
"AL062016",12,2016-08-19 21:00:00,1,1,1,1
"AL062016",11,2016-08-19 15:00:00,1,1,1,1
"AL062016",10,2016-08-19 09:00:00,1,1,1,1
"AL062016",9,2016-08-19 03:00:00,1,1,1,1
"AL062016",8,2016-08-18 21:00:00,1,1,1,1
"AL062016",7,2016-08-18 15:00:00,1,1,1,1
"AL062016",6,2016-08-18 09:00:00,1,1,1,1
"AL062016",5,2016-08-18 03:00:00,1,1,1,1
"AL062016",4,2016-08-17 21:00:00,1,1,1,1
"AL052016",16,2016-08-06 09:00:00,1,1,1,1
"AL052016",15,2016-08-06 03:00:00,1,1,1,1
"AL052016",14,2016-08-05 21:00:00,1,1,1,1
"AL052016",13,2016-08-05 15:00:00,1,1,1,1
"AL052016",10,2016-08-04 21:00:00,1,1,1,1
"AL052016",9,2016-08-04 15:00:00,1,1,1,1
"AL052016",8,2016-08-04 09:00:00,1,1,1,1
"AL052016",7,2016-08-04 03:00:00,1,1,1,1
"AL052016",6,2016-08-03 21:00:00,1,1,1,1
"AL052016",5,2016-08-03 15:00:00,1,1,1,1
"AL052016",4,2016-08-03 09:00:00,1,1,1,1
"AL052016",3,2016-08-03 03:00:00,1,1,1,1
"AL052016",2,2016-08-02 21:00:00,1,1,1,1
"AL052016",1,2016-08-02 16:00:00,1,1,1,1
"AL042016",5,2016-06-20 21:00:00,1,1,1,1
"AL042016",4,2016-06-20 15:00:00,1,1,1,1
"AL032016",10,2016-06-07 21:00:00,1,1,1,1
"AL032016",9,2016-06-07 15:00:00,1,1,1,1
"AL032016",8,2016-06-07 09:00:00,1,1,1,1
"AL032016",7,2016-06-07 03:00:00,1,1,1,1
"AL032016",6,2016-06-06 21:00:00,1,1,1,1
"AL032016",5,2016-06-06 15:00:00,1,1,1,1
"AL032016",4,2016-06-06 09:00:00,1,1,1,1
"AL032016",3,2016-06-06 03:00:00,1,1,1,1
"AL022016",32,2016-06-04 15:00:00,1,1,1,1
"AL022016",31,2016-06-04 09:00:00,1,1,1,1
"AL022016",30,2016-06-04 03:00:00,1,1,1,1
"AL022016",29,2016-06-03 21:00:00,1,1,1,1
"AL022016",8,2016-05-29 15:00:00,1,1,1,1
"AL022016",7,2016-05-29 09:00:00,1,1,1,1
