"Key","Adv","ObDate","WindField","NE","SE","SW","NW"
"AL122016",45,2016-09-25 15:00:00,"50","70","80","30","0"
"AL122016",45,2016-09-25 15:00:00,"34","140","160","90","60"
"AL122016",44,2016-09-25 09:00:00,"50","70","80","30","0"
"AL122016",44,2016-09-25 09:00:00,"34","140","160","90","60"
"AL122016",43,2016-09-25 03:00:00,"50","60","60","30","0"
"AL122016",43,2016-09-25 03:00:00,"34","100","150","90","70"
"AL122016",42,2016-09-24 21:00:00,"50","60","60","30","0"
"AL122016",42,2016-09-24 21:00:00,"34","100","150","90","70"
"AL122016",41,2016-09-24 15:00:00,"50","60","60","0","30"
"AL122016",41,2016-09-24 15:00:00,"34","100","100","90","90"
"AL122016",40,2016-09-24 09:00:00,"50","50","50","40","50"
"AL122016",40,2016-09-24 09:00:00,"34","100","100","90","90"
"AL122016",39,2016-09-24 03:00:00,"50","50","50","50","50"
"AL122016",39,2016-09-24 03:00:00,"34","100","100","70","90"
"AL122016",38,2016-09-23 21:00:00,"50","30","20","20","40"
"AL122016",38,2016-09-23 21:00:00,"34","100","80","50","90"
"AL122016",37,2016-09-23 15:00:00,"50","0","0","0","30"
"AL122016",37,2016-09-23 15:00:00,"34","100","0","0","100"
"AL122016",36,2016-09-23 09:00:00,"50","0","0","0","30"
"AL122016",36,2016-09-23 09:00:00,"34","100","0","0","100"
"AL122016",35,2016-09-23 03:00:00,"34","120","0","0","120"
"AL122016",34,2016-09-22 21:00:00,"34","120","0","0","120"
"AL122016",33,2016-09-22 15:00:00,"",NA,NA,NA,NA
"AL122016",32,2016-09-22 09:00:00,"",NA,NA,NA,NA
"AL122016",31,2016-09-22 03:00:00,"",NA,NA,NA,NA
"AL122016",30,2016-09-21 21:00:00,"",NA,NA,NA,NA
"AL122016",29,2016-09-21 15:00:00,"",NA,NA,NA,NA
"AL122016",28,2016-09-21 09:00:00,"",NA,NA,NA,NA
"AL122016",27,2016-09-21 03:00:00,"34","120","0","0","0"
"AL122016",26,2016-09-20 21:00:00,"34","120","0","0","80"
"AL122016",25,2016-09-20 15:00:00,"34","120","0","0","80"
"AL122016",24,2016-09-20 09:00:00,"34","120","0","0","80"
"AL122016",23,2016-09-20 03:00:00,"34","100","0","0","80"
"AL122016",22,2016-09-19 21:00:00,"34","100","0","0","80"
"AL122016",21,2016-09-19 15:00:00,"34","100","0","0","80"
"AL122016",20,2016-09-19 09:00:00,"34","100","0","0","80"
"AL122016",19,2016-09-19 03:00:00,"34","100","0","0","80"
"AL122016",18,2016-09-18 21:00:00,"34","100","0","0","80"
"AL122016",17,2016-09-18 15:00:00,"34","150","0","0","0"
"AL122016",16,2016-09-18 09:00:00,"34","200","0","0","0"
"AL122016",15,2016-09-18 03:00:00,"34","200","0","0","90"
"AL122016",14,2016-09-17 21:00:00,"34","200","0","0","100"
"AL122016",13,2016-09-17 15:00:00,"34","210","0","0","100"
"AL122016",12,2016-09-17 09:00:00,"34","180","0","0","110"
"AL122016",11,2016-09-17 03:00:00,"34","180","0","0","120"
"AL122016",10,2016-09-16 21:00:00,"34","200","80","0","80"
"AL122016",9,2016-09-16 15:00:00,"34","200","80","0","80"
"AL122016",8,2016-09-16 09:00:00,"34","140","80","0","80"
"AL122016",7,2016-09-16 03:00:00,"34","140","80","0","80"
"AL112016",12,2016-09-16 21:00:00,"34","30","0","0","30"
"AL112016",11,2016-09-16 15:00:00,"34","60","0","0","0"
"AL112016",10,2016-09-16 09:00:00,"34","60","0","0","0"
"AL112016",9,2016-09-16 03:00:00,"34","70","0","0","0"
"AL112016",8,2016-09-15 21:00:00,"34","70","0","0","0"
"AL112016",5,2016-09-15 03:00:00,"34","100","0","0","60"
"AL112016",2,2016-09-14 09:00:00,"34","70","0","0","0"
"AL112016",1,2016-09-14 03:00:00,"34","40","40","0","0"
"AL102016",17,2016-09-16 15:00:00,"50","0","100","60","0"
"AL102016",17,2016-09-16 15:00:00,"34","180","210","210","0"
"AL102016",16,2016-09-16 09:00:00,"50","0","60","0","0"
"AL102016",16,2016-09-16 09:00:00,"34","150","180","0","0"
"AL102016",15,2016-09-16 03:00:00,"34","150","150","0","0"
"AL102016",14,2016-09-15 21:00:00,"34","150","150","0","0"
"AL102016",13,2016-09-15 15:00:00,"34","150","120","0","120"
"AL102016",12,2016-09-15 09:00:00,"34","150","120","0","120"
"AL102016",11,2016-09-15 03:00:00,"34","200","140","0","120"
"AL102016",10,2016-09-14 21:00:00,"34","200","120","0","120"
"AL102016",9,2016-09-14 15:00:00,"34","200","120","0","120"
"AL102016",8,2016-09-14 09:00:00,"34","200","120","0","120"
