"Key","Adv","ObDate","FcstDate","Lat","Lon","Wind","Gust"
"AL152016",7,2016-10-06 03:00:00,2016-10-09 00:00:00,26.5,-64.5,55,65
"AL152016",7,2016-10-06 03:00:00,2016-10-10 00:00:00,27.5,-65.5,45,55
"AL152016",7,2016-10-06 03:00:00,2016-10-11 00:00:00,29,-65.5,35,45
"AL152016",6,2016-10-05 21:00:00,2016-10-06 06:00:00,26.3,-64.5,60,75
"AL152016",6,2016-10-05 21:00:00,2016-10-06 18:00:00,27.4,-65.2,60,75
"AL152016",6,2016-10-05 21:00:00,2016-10-07 06:00:00,27.9,-65.3,55,65
"AL152016",6,2016-10-05 21:00:00,2016-10-07 18:00:00,27.7,-64.8,55,65
"AL152016",6,2016-10-05 21:00:00,2016-10-08 18:00:00,27,-64,55,65
"AL152016",6,2016-10-05 21:00:00,2016-10-09 18:00:00,27.5,-65,45,55
"AL152016",6,2016-10-05 21:00:00,2016-10-10 18:00:00,29.5,-65,35,45
"AL152016",5,2016-10-05 15:00:00,2016-10-06 00:00:00,26,-63.8,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-06 12:00:00,27.3,-64.8,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-07 00:00:00,28.1,-65,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-07 12:00:00,28.3,-64.5,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-08 12:00:00,27.3,-63.1,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-09 12:00:00,27.5,-63.5,40,50
"AL152016",5,2016-10-05 15:00:00,2016-10-10 12:00:00,29.5,-64,35,45
"AL152016",4,2016-10-05 09:00:00,2016-10-05 18:00:00,25.5,-63,45,55
"AL152016",4,2016-10-05 09:00:00,2016-10-06 06:00:00,26.8,-64.2,45,55
"AL152016",4,2016-10-05 09:00:00,2016-10-06 18:00:00,27.7,-64.9,45,55
"AL152016",4,2016-10-05 09:00:00,2016-10-07 06:00:00,28.4,-64.6,40,50
"AL152016",4,2016-10-05 09:00:00,2016-10-08 06:00:00,28,-62.8,40,50
"AL152016",4,2016-10-05 09:00:00,2016-10-09 06:00:00,28.3,-62,40,50
"AL152016",4,2016-10-05 09:00:00,2016-10-10 06:00:00,30,-63,40,50
"AL152016",3,2016-10-05 03:00:00,2016-10-05 12:00:00,25.1,-62.5,45,55
"AL152016",3,2016-10-05 03:00:00,2016-10-06 00:00:00,26.5,-63.8,45,55
"AL152016",3,2016-10-05 03:00:00,2016-10-06 12:00:00,27.7,-64.8,40,50
"AL152016",3,2016-10-05 03:00:00,2016-10-07 00:00:00,28.5,-64.9,35,45
"AL152016",3,2016-10-05 03:00:00,2016-10-08 00:00:00,28.3,-63.7,30,40
"AL152016",3,2016-10-05 03:00:00,2016-10-09 00:00:00,28.3,-62.7,25,35
"AL152016",3,2016-10-05 03:00:00,2016-10-10 00:00:00,30,-62.4,25,35
"AL152016",2,2016-10-04 21:00:00,2016-10-05 06:00:00,25,-62.3,45,55
"AL152016",2,2016-10-04 21:00:00,2016-10-05 18:00:00,26.5,-63.9,45,55
"AL152016",2,2016-10-04 21:00:00,2016-10-06 06:00:00,27.8,-65,40,50
"AL152016",2,2016-10-04 21:00:00,2016-10-06 18:00:00,29,-66,35,45
"AL152016",2,2016-10-04 21:00:00,2016-10-07 18:00:00,29,-64.5,30,40
"AL152016",2,2016-10-04 21:00:00,2016-10-08 18:00:00,29,-64,25,35
"AL152016",2,2016-10-04 21:00:00,2016-10-09 18:00:00,30,-63,25,35
"AL152016",1,2016-10-04 15:00:00,2016-10-05 00:00:00,24.5,-61.3,45,55
"AL152016",1,2016-10-04 15:00:00,2016-10-05 12:00:00,25.5,-62.6,45,55
"AL152016",1,2016-10-04 15:00:00,2016-10-06 00:00:00,26.8,-63.9,40,50
"AL152016",1,2016-10-04 15:00:00,2016-10-06 12:00:00,28.2,-64.6,35,45
"AL152016",1,2016-10-04 15:00:00,2016-10-07 12:00:00,28.9,-64.5,30,40
"AL152016",1,2016-10-04 15:00:00,2016-10-08 12:00:00,27.8,-64.2,25,35
"AL152016",1,2016-10-04 15:00:00,2016-10-09 12:00:00,27.5,-65.3,25,35
"AL142016",47,2016-10-09 21:00:00,2016-10-10 06:00:00,36.4,-69.2,55,65
"AL142016",46,2016-10-09 15:00:00,2016-10-10 00:00:00,35.3,-71.2,60,75
"AL142016",46,2016-10-09 15:00:00,2016-10-10 12:00:00,35.7,-68,50,60
"AL142016",46,2016-10-09 15:00:00,2016-10-11 00:00:00,37,-64,35,45
"AL142016",45,2016-10-09 09:00:00,2016-10-09 18:00:00,35.2,-73,60,75
"AL142016",45,2016-10-09 09:00:00,2016-10-10 06:00:00,35.4,-70,50,60
"AL142016",45,2016-10-09 09:00:00,2016-10-10 18:00:00,35.9,-66.5,40,50
"AL142016",45,2016-10-09 09:00:00,2016-10-11 06:00:00,36.5,-62.5,35,45
"AL142016",44,2016-10-09 03:00:00,2016-10-09 12:00:00,34.6,-74.7,65,80
"AL142016",44,2016-10-09 03:00:00,2016-10-10 00:00:00,34.4,-72,55,65
"AL142016",44,2016-10-09 03:00:00,2016-10-10 12:00:00,33.8,-70,45,55
"AL142016",44,2016-10-09 03:00:00,2016-10-11 00:00:00,33,-69,35,45
"AL142016",43,2016-10-08 21:00:00,2016-10-09 06:00:00,34.5,-76.5,60,75
"AL142016",43,2016-10-08 21:00:00,2016-10-09 18:00:00,34.5,-74,55,65
"AL142016",43,2016-10-08 21:00:00,2016-10-10 06:00:00,34,-71.8,45,55
"AL142016",43,2016-10-08 21:00:00,2016-10-10 18:00:00,33,-70.5,35,45
"AL142016",42,2016-10-08 15:00:00,2016-10-09 00:00:00,33.6,-78,60,75
"AL142016",42,2016-10-08 15:00:00,2016-10-09 12:00:00,34,-75.5,60,75
"AL142016",42,2016-10-08 15:00:00,2016-10-10 00:00:00,34,-73,50,60
"AL142016",42,2016-10-08 15:00:00,2016-10-10 12:00:00,33,-72,40,50
"AL142016",41,2016-10-08 09:00:00,2016-10-08 18:00:00,32.9,-79.4,80,100
"AL142016",41,2016-10-08 09:00:00,2016-10-09 06:00:00,33.7,-77.1,70,85
"AL142016",41,2016-10-08 09:00:00,2016-10-09 18:00:00,33.4,-75.1,60,75
"AL142016",41,2016-10-08 09:00:00,2016-10-10 06:00:00,32.6,-73.5,50,60
"AL142016",41,2016-10-08 09:00:00,2016-10-11 06:00:00,29,-73.5,40,50
"AL142016",41,2016-10-08 09:00:00,2016-10-12 06:00:00,26,-75.3,30,40
"AL142016",41,2016-10-08 09:00:00,2016-10-13 06:00:00,25,-76.2,30,40
"AL142016",40,2016-10-08 03:00:00,2016-10-08 12:00:00,32.5,-79.8,80,100
"AL142016",40,2016-10-08 03:00:00,2016-10-09 00:00:00,33.6,-77.8,70,85
"AL142016",40,2016-10-08 03:00:00,2016-10-09 12:00:00,33.9,-75.5,60,75
"AL142016",40,2016-10-08 03:00:00,2016-10-10 00:00:00,33,-74,55,65
"AL142016",40,2016-10-08 03:00:00,2016-10-11 00:00:00,30,-73.5,40,50
"AL142016",40,2016-10-08 03:00:00,2016-10-12 00:00:00,27.5,-74.5,30,40
"AL142016",40,2016-10-08 03:00:00,2016-10-13 00:00:00,26,-75.5,30,40
"AL142016",39,2016-10-07 21:00:00,2016-10-08 06:00:00,31.7,-80.7,90,110
"AL142016",39,2016-10-07 21:00:00,2016-10-08 18:00:00,33,-79,80,100
"AL142016",39,2016-10-07 21:00:00,2016-10-09 06:00:00,33.8,-76.7,65,80
"AL142016",39,2016-10-07 21:00:00,2016-10-09 18:00:00,33.5,-75,60,75
"AL142016",39,2016-10-07 21:00:00,2016-10-10 18:00:00,30,-74.5,40,50
